20:45:38.691 Transmit                     1ms #:GS#
20:45:38.763 ReceiveTerminated           71ms 19:03:35#
20:45:38.764 Connected Get                0ms True
20:45:38.767 ClearBuffers                 2ms
20:45:38.769 Transmit                     1ms #:GS#
20:45:38.843 ReceiveTerminated           73ms 19:03:35#
20:45:39.558 Connected Get                0ms True
20:45:39.560 ClearBuffers                 1ms
20:45:39.562 Transmit                     1ms #:GR#
20:45:39.642 ReceiveTerminated           79ms 21:38:56#
20:45:39.644 Connected Get                0ms True
20:45:39.646 ClearBuffers                 1ms
20:45:39.648 Transmit                     1ms #:GD#
20:45:39.722 ReceiveTerminated           73ms -01[DF]34:34#
20:45:39.724 Connected Get                0ms True
20:45:39.726 ClearBuffers                 1ms
20:45:39.728 Transmit                     1ms #:GS#
20:45:39.802 ReceiveTerminated           73ms 19:03:36#
20:45:39.804 Connected Get                0ms True
20:45:39.806 ClearBuffers                 1ms
20:45:39.808 Transmit                     1ms #:GS#
20:45:39.882 ReceiveTerminated           73ms 19:03:36#
20:45:40.603 Connected Get                0ms True
20:45:40.605 ClearBuffers                 1ms
20:45:40.607 Transmit                     1ms #:GR#
20:45:40.681 ReceiveTerminated           73ms 21:38:56#
20:45:40.683 Connected Get                0ms True
20:45:40.685 ClearBuffers                 1ms
20:45:40.687 Transmit                     1ms #:GD#
20:45:40.761 ReceiveTerminated           73ms -01[DF]34:27#
20:45:40.763 Connected Get                0ms True
20:45:40.765 ClearBuffers                 1ms
20:45:40.767 Transmit                     1ms #:GS#
20:45:40.809 ReceiveTerminated           41ms 19:03:37#
20:45:40.811 Connected Get                0ms True
20:45:40.813 ClearBuffers                 1ms
20:45:40.815 Transmit                     1ms #:GS#
20:45:40.873 ReceiveTerminated           57ms 19:03:37#
20:45:41.689 Connected Get                0ms True
20:45:41.691 ClearBuffers                 1ms
20:45:41.693 Transmit                     1ms #:GR#
20:45:41.767 ReceiveTerminated           73ms 21:38:56#
20:45:41.769 Connected Get                0ms True
20:45:41.771 ClearBuffers                 1ms
20:45:41.773 Transmit                     1ms #:GD#
20:45:41.847 ReceiveTerminated           73ms -01[DF]34:18#
20:45:41.849 Connected Get                0ms True
20:45:41.851 ClearBuffers                 1ms
20:45:41.853 Transmit                     1ms #:GS#
20:45:41.927 ReceiveTerminated           73ms 19:03:38#
20:45:41.933 Connected Get                0ms True
20:45:41.935 ClearBuffers                 1ms
20:45:41.937 Transmit                     1ms #:GS#
20:45:42.007 ReceiveTerminated           69ms 19:03:38#
20:45:42.722 Connected Get                0ms True
20:45:42.724 ClearBuffers                 1ms
20:45:42.726 Transmit                     1ms #:GR#
20:45:42.806 ReceiveTerminated           79ms 21:38:56#
20:45:42.808 Connected Get                0ms True
20:45:42.811 ClearBuffers                 1ms
20:45:42.813 Transmit                     1ms #:GD#
20:45:42.885 ReceiveTerminated           71ms -01[DF]34:12#
20:45:42.887 Connected Get                0ms True
20:45:42.889 ClearBuffers                 1ms
20:45:42.891 Transmit                     1ms #:GS#
20:45:42.965 ReceiveTerminated           73ms 19:03:39#
20:45:42.972 Connected Get                0ms True
20:45:42.974 ClearBuffers                 1ms
20:45:42.976 Transmit                     1ms #:GS#
20:45:43.046 ReceiveTerminated           69ms 19:03:39#
20:45:43.664 Connected Get                0ms True
20:45:43.667 ClearBuffers                 1ms
20:45:43.669 Transmit                     1ms #:GR#
20:45:43.733 ReceiveTerminated           63ms 21:38:56#
20:45:43.735 Connected Get                0ms True
20:45:43.737 ClearBuffers                 1ms
20:45:43.739 Transmit                     1ms #:GD#
20:45:43.813 ReceiveTerminated           73ms -01[DF]34:04#
20:45:43.815 Connected Get                0ms True
20:45:43.817 ClearBuffers                 1ms
20:45:43.819 Transmit                     1ms #:GR#
20:45:43.893 ReceiveTerminated           73ms 21:38:56#
20:45:43.895 Connected Get                0ms True
20:45:43.897 ClearBuffers                 1ms
20:45:43.899 Transmit                     1ms #:GD#
20:45:43.973 ReceiveTerminated           73ms -01[DF]34:03#
20:45:43.976 Connected Get                0ms True
20:45:43.978 ClearBuffers                 1ms
20:45:43.980 Transmit                     1ms #:Q#
20:45:43.993 Connected Get                0ms True
20:45:43.995 ClearBuffers                 1ms
20:45:43.997 Transmit                     1ms #:GR#
20:45:44.099 ReceiveTerminated          101ms 21:38:56#
20:45:44.101 Connected Get                0ms True
20:45:44.103 ClearBuffers                 1ms
20:45:44.105 Transmit                     1ms #:GD#
20:45:44.211 ReceiveTerminated          105ms -01[DF]34:01#
20:45:44.218 Connected Get                0ms True
20:45:44.220 ClearBuffers                 1ms
20:45:44.222 Transmit                     1ms #:GS#
20:45:44.292 ReceiveTerminated           69ms 19:03:41#
20:45:44.294 Connected Get                0ms True
20:45:44.296 ClearBuffers                 1ms
20:45:44.298 Transmit                     1ms #:GS#
20:45:44.372 ReceiveTerminated           73ms 19:03:41#
20:45:45.132 Connected Get                0ms True
20:45:45.134 ClearBuffers                 1ms
20:45:45.136 Transmit                     1ms #:GR#
20:45:45.218 ReceiveTerminated           81ms 21:38:57#
20:45:45.220 Connected Get                0ms True
20:45:45.222 ClearBuffers                 1ms
20:45:45.224 Transmit                     1ms #:GD#
20:45:45.346 ReceiveTerminated          121ms -01[DF]34:01#
20:45:45.359 Connected Get                0ms True
20:45:45.361 ClearBuffers                 1ms
20:45:45.363 Transmit                     1ms #:GS#
20:45:45.425 ReceiveTerminated           61ms 19:03:42#
20:45:45.447 Connected Get                0ms True
20:45:45.449 ClearBuffers                 1ms
20:45:45.451 Transmit                     1ms #:GS#
20:45:45.505 ReceiveTerminated           53ms 19:03:42#
20:45:46.195 Connected Get                0ms True
20:45:46.197 ClearBuffers                 1ms
20:45:46.199 Transmit                     1ms #:GR#
20:45:46.273 ReceiveTerminated           73ms 21:38:58#
20:45:46.275 Connected Get                0ms True
20:45:46.277 ClearBuffers                 1ms
20:45:46.279 Transmit                     1ms #:GD#
20:45:46.337 ReceiveTerminated           57ms -01[DF]34:01#
20:45:46.371 Connected Get                0ms True
20:45:46.373 ClearBuffers                 1ms
20:45:46.375 Transmit                     1ms #:GS#
20:45:46.449 ReceiveTerminated           73ms 19:03:43#
20:45:46.451 Connected Get                0ms True
20:45:46.453 ClearBuffers                 1ms
20:45:46.455 Transmit                     1ms #:GS#
20:45:46.529 ReceiveTerminated           73ms 19:03:43#
20:45:46.993 Connected Get                0ms True
20:45:46.995 Connected Get                0ms True
20:45:46.997 ClearBuffers                 1ms
20:45:46.999 Transmit                     1ms #:RG#
20:45:47.168 Connected Get                0ms True
20:45:47.170 ClearBuffers                 1ms
20:45:47.172 Transmit                     1ms #:GR#
20:45:47.248 ReceiveTerminated           75ms 21:38:59#
20:45:47.250 Connected Get                0ms True
20:45:47.252 ClearBuffers                 1ms
20:45:47.254 Transmit                     1ms #:GD#
20:45:47.344 ReceiveTerminated           89ms -01[DF]34:01#
20:45:47.346 Connected Get                0ms True
20:45:47.348 ClearBuffers                 1ms
20:45:47.350 Transmit                     1ms #:GS#
20:45:47.424 ReceiveTerminated           73ms 19:03:44#
20:45:47.426 Connected Get                0ms True
20:45:47.428 ClearBuffers                 1ms
20:45:47.430 Transmit                     1ms #:GS#
20:45:47.504 ReceiveTerminated           73ms 19:03:44#
20:45:48.269 Connected Get                0ms True
20:45:48.271 ClearBuffers                 1ms
20:45:48.273 Transmit                     1ms #:GR#
20:45:48.367 ReceiveTerminated           93ms 21:38:58#
20:45:48.370 Connected Get                0ms True
20:45:48.372 ClearBuffers                 1ms
20:45:48.374 Transmit                     1ms #:GD#
20:45:48.462 ReceiveTerminated           87ms -01[DF]34:01#
20:45:48.464 Connected Get                0ms True
20:45:48.466 ClearBuffers                 1ms
20:45:48.468 Transmit                     1ms #:GS#
20:45:48.526 ReceiveTerminated           57ms 19:03:45#
20:45:48.530 Connected Get                0ms True
20:45:48.532 ClearBuffers                 1ms
20:45:48.534 Transmit                     1ms #:GS#
20:45:48.606 ReceiveTerminated           71ms 19:03:45#
20:45:48.860 Connected Get                0ms True
20:45:48.861 Connected Get                0ms True
20:45:48.863 ClearBuffers                 1ms
20:45:48.865 Transmit                     1ms #:RG#
20:45:48.866 Connected Get                0ms True
20:45:48.868 ClearBuffers                 1ms
20:45:48.870 Transmit                     1ms #:Qn#
20:45:50.870 Connected Get                0ms True
20:45:50.872 ClearBuffers                 1ms
20:45:50.874 Transmit                     1ms #:Qn#
20:45:50.875 Connected Get                0ms True
20:45:50.877 ClearBuffers                 1ms
20:45:50.879 Transmit                     1ms #:Ms#
20:45:50.881 Connected Get                0ms True
20:45:50.883 ClearBuffers                 1ms
20:45:50.885 Transmit                     1ms #:GR#
20:45:51.035 ReceiveTerminated          149ms 21:38:59#
20:45:51.037 Connected Get                0ms True
20:45:51.039 ClearBuffers                 1ms
20:45:51.041 Transmit                     1ms #:GD#
20:45:51.099 ReceiveTerminated           57ms -01[DF]34:01#
20:45:51.101 Connected Get                0ms True
20:45:51.103 ClearBuffers                 1ms
20:45:51.105 Transmit                     1ms #:GS#
20:45:51.163 ReceiveTerminated           57ms 19:03:47#
20:45:51.165 Connected Get                0ms True
20:45:51.167 ClearBuffers                 1ms
20:45:51.169 Transmit                     1ms #:GS#
20:45:51.243 ReceiveTerminated           73ms 19:03:47#
20:45:51.965 Connected Get                0ms True
20:45:51.967 ClearBuffers                 1ms
20:45:51.969 Transmit                     1ms #:GR#
20:45:52.073 ReceiveTerminated          103ms 21:38:59#
20:45:52.075 Connected Get                0ms True
20:45:52.077 ClearBuffers                 1ms
20:45:52.079 Transmit                     1ms #:GD#
20:45:52.153 ReceiveTerminated           73ms -01[DF]34:04#
20:45:52.160 Connected Get                0ms True
20:45:52.162 ClearBuffers                 1ms
20:45:52.164 Transmit                     1ms #:GS#
20:45:52.200 ReceiveTerminated           35ms 19:03:48#
20:45:52.202 Connected Get                0ms True
20:45:52.204 ClearBuffers                 1ms
20:45:52.206 Transmit                     1ms #:GS#
20:45:52.280 ReceiveTerminated           73ms 19:03:49#
20:45:52.995 Connected Get                0ms True
20:45:52.997 ClearBuffers                 1ms
20:45:52.999 Transmit                     1ms #:GR#
20:45:53.063 ReceiveTerminated           63ms 21:38:59#
20:45:53.065 Connected Get                0ms True
20:45:53.067 ClearBuffers                 1ms
20:45:53.069 Transmit                     1ms #:GD#
20:45:53.159 ReceiveTerminated           89ms -01[DF]34:13#
20:45:53.166 Connected Get                0ms True
20:45:53.168 ClearBuffers                 1ms
20:45:53.170 Transmit                     1ms #:GS#
20:45:53.238 ReceiveTerminated           67ms 19:03:49#
20:45:53.240 Connected Get                0ms True
20:45:53.242 ClearBuffers                 1ms
20:45:53.244 Transmit                     1ms #:GS#
20:45:53.318 ReceiveTerminated           73ms 19:03:50#
20:45:54.034 Connected Get                0ms True
20:45:54.036 ClearBuffers                 1ms
20:45:54.038 Transmit                     1ms #:GR#
20:45:54.118 ReceiveTerminated           79ms 21:38:59#
20:45:54.125 Connected Get                0ms True
20:45:54.127 ClearBuffers                 1ms
20:45:54.129 Transmit                     1ms #:GD#
20:45:54.231 ReceiveTerminated          101ms -01[DF]34:20#
20:45:54.233 Connected Get                0ms True
20:45:54.235 ClearBuffers                 1ms
20:45:54.237 Transmit                     1ms #:GS#
20:45:54.279 ReceiveTerminated           41ms 19:03:51#
20:45:54.281 Connected Get                0ms True
20:45:54.283 ClearBuffers                 1ms
20:45:54.285 Transmit                     1ms #:GS#
20:45:54.359 ReceiveTerminated           73ms 19:03:51#
20:45:55.074 Connected Get                0ms True
20:45:55.076 ClearBuffers                 1ms
20:45:55.078 Transmit                     1ms #:GR#
20:45:55.142 ReceiveTerminated           63ms 21:38:59#
20:45:55.149 Connected Get                0ms True
20:45:55.151 ClearBuffers                 1ms
20:45:55.153 Transmit                     1ms #:GD#
20:45:55.237 ReceiveTerminated           83ms -01[DF]34:28#
20:45:55.239 Connected Get                0ms True
20:45:55.241 ClearBuffers                 1ms
20:45:55.243 Transmit                     1ms #:GS#
20:45:55.317 ReceiveTerminated           73ms 19:03:52#
20:45:55.319 Connected Get                0ms True
20:45:55.321 ClearBuffers                 1ms
20:45:55.323 Transmit                     1ms #:GS#
20:45:55.397 ReceiveTerminated           73ms 19:03:52#
20:45:56.107 Connected Get                0ms True
20:45:56.109 ClearBuffers                 1ms
20:45:56.111 Transmit                     1ms #:GR#
20:45:56.179 ReceiveTerminated           67ms 21:38:59#
20:45:56.186 Connected Get                0ms True
20:45:56.188 ClearBuffers                 1ms
20:45:56.190 Transmit                     1ms #:GD#
20:45:56.276 ReceiveTerminated           85ms -01[DF]34:36#
20:45:56.278 Connected Get                0ms True
20:45:56.280 ClearBuffers                 1ms
20:45:56.282 Transmit                     1ms #:GS#
20:45:56.356 ReceiveTerminated           73ms 19:03:53#
20:45:56.358 Connected Get                0ms True
20:45:56.360 ClearBuffers                 1ms
